,word_id,word,up_votes,down_votes,author,definition
665789,1813875,manbearpig,118,334,b77c8d99,"Bill Clinton had Monica for attention, and Al Gore has ManBearPig"
665999,1814427,manbearpig,214,497,93f415cf,All of the thumbs down show liberals for the retarded pukes that they are.They get all defensive about a fucking joke made on a fucking cartoon.No wonder they keep losing elections.They take themselves way too seriously.Fags.
666509,1815487,man up,246,169,b0e7b52b,To work through impediments and obstacles without whining
666759,1816227,portmanteau,167,144,4ae8de83,a cliche and uncreative technique to form new words - almost anyone who can speak a language can fabricate words by butchering two perfectly good words and using cheap glue to form one ugly word
666846,1816439,michael moore mania,166,191,d335729d,"[michael moore] mania is the anti-bush, anti-government craze brought about by the film [fahrenheit 9/11]. It is found, generally, in susceptable teenagers trying to be political and individual by copying the opinions of one man."
666945,1816724,Coleman,237,213,2ee18dc2,"The act of going to the bathroom and absolutely destroying it only 5 minutes after completing your previous meal. Room clearing gaseous emissions and cracked toilet bowls are usually the end products. On instances, ripe bananas and used rubbers have been known to be the only remnants of a Coleman."
667376,1817602,Gilman,244,153,efd5102a,"Gilman School for Boys is located in Baltimore, MD, on the stretch of road known as Northern Parkway. Mostly filled with pretentious boys, half of which are full of themselves and drink and smoke on a regular basis. The other half is calm and slightly more normal, and then there's the small portion of students that are just fucking weird. Located across the street from [Bryn Mawr] and [RPCS], most Gilman boys find themselves dating a girl from either school, and enduring as they talk about how much they hate the other female school. However stupid they may seem from this description, Gilman boys are actually very cute and fun. They can be the life of the party, despite the regulations and rules that their school enforces upon them."
669713,1822932,kept man,122,28,423e7212,a white boy from the suburbs that marries a rich lady. His job is to [pleasure] her and be eye candy. She in returns takes care of all his financial needs.
670554,1824894,chichi man,111,20,cc240f05,gay men ;; ussually used by reggae homophobic people.
670937,1825847,maneater,1896,401,c96f0400,"The female equivalent to the more male-associated words like [pimp] or [player]. An irresistable woman who chews and spits out men after using them for some sort of gain -- be it sexual, financial or psychological."
672294,1829361,man flu,3020,1561,4a2360eb,"The condition shared by all males wherein a common illness (usually a mild cold) is presented by the patient as life-threatening. ;; This is also known as 'Fishing for Sympathy' or 'Chronic Exaggeration'. ;; When the patient is your boyfriend, he will exhibit the standard symptoms (such as an overwhelming desire for compassion) while simultaneously rejecting any and all efforts you make to placate him."
672467,1829806,man meat,211,77,1d73d0ce,"A BIG & HARD THROBBING COCK MADE TO GIVE PAIN, AND PLEASURE. Therefore it is no longer a 'penis', but MAN MEAT! What any horny girl wants to use for a lolly pop."
672575,1830079,amanda wenk,264,82,2c485b77,"inernet phenomenon / sex symbol who earned fame (or infamy) in late 2005 after her multiple galleries of scantily clad webshots/flickr pictures containing DD+ cleavage were linked to and reposted all across the internet (including non-American websites in Brazil and Germany) to hundreds of thousands if not millions of viewers. Comes from Fairfax county, Virginia and seems to enjoy an inordinate amount of expensive vacations, alcohol imbibing and leisure time for a high school Junior. Is of Jewish descendency and was scheduled to graduate in 2007."
673200,1831952,woman,118,459,29501e83,The evil half of the human race
673381,1832433,Herman Li,361,230,d049b77f,"Guitarist in the power metal band [Dragonforce]. He was born in Hong Kong and is the person who started Dragonforce. Herman Li is a self-taught with the guitar (and is extremely fast.) Although Herman Li is left-handed, he uses a right handed guitar; Li is known for his amazing signature guitar solos, where he switches his hands (right hand for fretting and left for 'shredding.' He also uses a Digitech Whammy Pedal and Wah Pedal To create some of his signature guitar sounds."
673727,1833339,man dem,783,310,1fb77c5c,Man Dem is the term used for a group of friends or homies. This term originated from the carribean but found its way to the streets of the uk where it is widely used.
673977,1833926,manwhore,274,186,1c96a037,"A young male who has tries to get as much action as possible. He may have 5 girlfriends, 3 friends with benefits, and 4 random hook ups in the course of one week. He never forms any emotional attachment and makes his way out of the relationship at any evidence of attachment from the girl. His standards are rarely high and he doesn't care too much about appearance or personality, as long as you put out."
674605,1835535,mangu,215,110,39972fbf,"Mangu is a typical Dominican food, commonly eaten as a side dish, or as part of more complex dishes. It is made by mashing boiled green plantains and adding a little salt, pepper, water (or a flavoured stock) and butter to it. It's commonly eaten as part of breakfast accompanying fried salami or as a side dish, just like mashed potatoes. Very filling and tasty. The name of Mangu is a contraption of the expresion Americans used when they first tried it during the USA invation of the Dominican Republic in the early 20th century 'Man Good', hence 'Mangu'."
675112,1836903,Hopeless romantic,803,570,505881cd,someone that thinks of love passionately.
676026,1839388,mcmansion,135,57,1a40f38e,"The term 'McMansion' describes any spread out, land eating, mass produced house (AKA single family 'home'), most likely made of brick and having a multi-layered roofline/frontage that faces the far away street. It is of the sort most common for the last two decades in the U.S. ;; They could be (and most often are it seems) only one to one and one half stories, but very rarely exceed 2 to 2 1/2 stories. They range in price from middle income to upper upper income (anything that's over 500K (in most of the interior southeast/midwest) should be designed by an architect anyway. ;; We can blame our upwardly mobile, disposable national culture, the [housing bubble], and to some degree [HGTV] for perpetuting this phenomenon. ;; Other space eaters that contribute to suburban/metropolitan sprawl include the [ranch] house/[rambler], the [patio home] ;; , and the '[florida house].' ;; With any luck, the [oil crash] will make livestock pens out of these architectural mistakes."
676039,1839435,Germany,456,140,6ab7bda4,"A nation with a tortured history in the heart of [Europe] where governmental support of the arts and artists is a given. Germany's closest friend and ally is [France] (whose armies, under [Napoleon], raped and pillaged their way across the Rhine between 1805 and 1806). Traditionally both a [Roman Catholic] and a [Lutheran] country, depending on the region, Germany now has the fastest-growing [Jewish] population in the world. The [Austrians] are ethnic Germans (Austria was historically the most powerful German state until its defeat by Prussia in 1866); the [Swiss] are not."
676091,1839614,Theory Of A Deadman,315,324,f86a8645,An awesome rock band. A disgrace this is the first definiton on urban dictionary for them.
676632,1840719,pokeyman,345,70,7aa8e45e,Used by crazy people who can't pronounce '[Pokemon]'.
677046,1841598,ravers manifesto,694,105,6e055c98,"Our emotional state of choice is Ecstasy. Our nourishment of choice is Love. Our addiction of choice is technology. ;; Our religion of choice is music. Our currency of choice is knowledge. Our politics of choice is none. ;; Our society of choice is utopian though we know it will never be. You may hate us. You may dismiss us. You may misunderstand us. You may be unaware of our existence. ;; We can only hope you do not care to judge us, because we would never judge you. We are not criminals. We are not disillusioned. We are not drug addicts. We are not naive children... ;; We are one massive, global, tribal village that transcends man-made law, physical geography, and time itself. ;; We are The Massive. One Massive. ;; We were first drawn by the sound. From far away, the thunderous, muffled, echoing beat was comparable to a mother's heart soothing a child in her womb of concrete, steel, and electrical wiring. ;; We were drawn back into this womb, and there, in the heat, dampness, and darkness of it, ;; We came to accept that we are all equal. Not only to the darkness, and to ourselves, but to the very music slamming into us and passing through our souls: we are all equal. ;; And somewhere around 35 Hz we could feel the hand of God at our backs, pushing us forward, pushing us to push ourselves to strengthen our minds, our bodies, and our spirits, ;; Pushing us to turn to the person beside us to join hands and uplift them by sharing the uncontrollable joy we felt from creating this magical bubble that can, for one evening, protect us from the horrors, atrocities, and pollution of the outside world. It is in that very instant, with these initial realisations that each of us was truly born. ;; We continue to pack our bodies into clubs, or warehouses, or buildings you've abandoned and left for naught, and we bring life to them for one night. ;; Strong, throbbing, vibrant life in it's purest, most intense, most hedonistic form. ;; In these makeshift spaces, we seek to shed ourselves of the burden of uncertainty for a future you have been unable to stabilise and secure for us. ;; We seek to relinquish our inhibitions, and free ourselves from the shackle's and restraints you've put on us for your own peace of mind. ;; We seek to re-write the programming that you have tried to indoctrinate us with since the moment we were born. ;; Programming that tells us to hate, that tells us to judge, that tells us to stuff ourselves into the nearest and most convenient pigeon hole possible. Programming that even tells us to climb ladders for you, jump through hoops, and run through mazes and on hamster wheels. ;; Programming that tells us to eat from the shiny silver spoon you are trying to feed us with, instead of nourish ourselves with our own capable hands. ;; Programming that tells us to close our minds, instead of open them. ;; Until the sun rises to burn our eyes by revealing the dis-utopian reality of a world you've created for us, we dance fiercely with our brothers and sisters in celebration of our life, of our culture, and of the values we believe in: ;; Peace, Love, Freedom, Tolerance, Unity, Harmony, ;; Expression, Responsibility and Respect. ;; Our enemy of choice is ignorance. Our weapon of choice is information. Our crime of choice is breaking and challenging whatever laws you feel you need to put in place to stop us from celebrating our existence. ;; But know that while you may shut down any given party, on any given night, in any given city, in any given country or continent on this beautiful planet, you can never shut down the entire party. ;; You don't have access to that switch, no matter what you may think. The music will never stop. The heartbeat will never fade. The party will never end. ;; I am a raver, and this is my manifesto."
678172,1844321,Orangeman,177,148,5b64e596,"Can we please have a non-biased definition? ;; A member of the Orange Order. A men's society centred around protestantism and the union of [Northern Ireland] and the rest of the United Kingdom. Also remembers the [Battle of the Boyne] in 1690, where William of Orange (hence the name) defeated James II. Has been critcized with having anti-[Catholic] beliefs. ;; There has also been great contreversy over marching rights. The Order claims that they can march on their traditional marching routes, though certain Catholic-dominated streets have complained due to the Order's (alledged) history of Catholic-Baiting. ;; Orangemen during their parades are known to wear old Victorian style suits with bowler hats and orange sashes."
678698,1845668,mandigo,134,59,724bc514,it's the man's private part
679702,1847824,man milk,209,50,8ef2a5f1,"The warm, moist, milky white fluid that discharges from the penis when excited."
680616,1850024,yorkshire manor,123,10,55a95187,A crazy as fuck death metal band out of south michigan. ;; Where the lead singer does crazy shit in a ninja suit. ;; yorkshire manor will kill you.
680881,1850740,batman,138,64,41038eb8,"The ultimate superhero, one that manipulates his enemies' fear and uses stealth and intimidation and intellect to succeed, and does not need butthole Superman powers to survive."
681007,1851025,mangal,144,42,307f1aad,"quite uncivilized humanoid life form that mainly depends on prostitution, drug-dealing and robbing, very common in the bolkan lands. it parasites around large cities, bringing a lot of diseases and trash with it"
682123,1853773,German,154,65,ee6f4dd2,"not only is their language relaxing and amusing, they have great beer and are some of the fittest people in the world. take michael ballack, for example. NOT NAZIs. that ended years ago. remember that FRENCH dude who was a nazi recently? anyone can be a nazi it isnt just limited to germans."
682813,1855480,layman's terms,271,126,16f23b2b,"The use of basic speach, or words/terms that a person will understand."
682843,1855613,aromantic,716,168,d069db40,One who lacks interest in or desire for romantic relationships.
683915,1857845,Germany,3522,687,a71bc4af,"The most amazing country on Earth. Take this from me, an American who was lucky enough to live there for 5 awesome years. Germany is a country that has taken a total 360 since 1945. Germany is the democracy that America claims to be. Americans who constantly down-talk Germany and Germans for their errors in the past are very ignorant. It is a peaceful country rich in culture and history. Germans are hard-shelled people on the outside, however, they are very respectful and good-natured on the inside. They have a knack for things being done the RIGHT way(Alles in Ordnung!) They appreciate the finer things in life such as art, music, history, family and friends. Germans are wonderful and privacy-respecting neighbors, enviornment friendly, great scholars, artists and engineers. Even as a very populous country, it is still very clean and absolutely beautiful. Plenty to see and do, and home to the the most awesome and functional highway system in the world. Das autobahn. Deutschland is geil,mann."
684365,1858767,Amanda,9193,7698,105ea027,Amanda does NOT mean 'A man DUH' it is a name which means ;; 'Love' in the definations of name books.
684823,1859999,Postman,234,115,2211118b,"A guy that messes with other guys girlfriends. He believes that if a girl [chooses], then it is her fault and he is not in the wrong."
685060,1860591,manscaping,113,153,86830310,The ill-concieved art of removing male body hair from some areas whilst leaving others in an attempt to look pubescent but not bearish ;; Usually results in some fairly dire patches of stubble
685164,1860787,commander keen,144,39,950f7f95,"One of the best MS-DOS games to have ever existed. Everyone who plays this game loves it. Sadly, the Commander Keen series was never finished due to demand for other games like Doom, etc..."
685721,1861941,woman,106,446,3884d75e,"A creature filled with so much curiousity that it is driven to be a materialistic slut who is never satisfied and is always wanting a man with a bigger penis and more money. They can never get enough attention, money, or big cocks."
686172,1862986,man of leisure,109,31,a902fb93,"A man whose wealth and/or social position allow him to pursue pleasurable social, cultural, and athletic hobbies or pasttimes, rather than employment."
686423,1863475,neil gaiman,211,32,33e02675,"Awesome fantasy writer of such wonderful works as the Sandman series, 'American Gods', 'Stardust,' and 'Neverwhere.' Also co-creater of the literary masterpiece 'Good Omens,' which almost also became the best movie in the world by the creaters of Monty Python, but was unfortunately turned down in an evil Hollywood hype fight."
687201,1865128,Hopeless romantic,282,244,52e55934,"This person is in love with love.They believe in fairy tales and love.They're not to be confused as stalkers or creepy because that's not what a hopeless romantic is. All hopeless romantics are idealists,the sentimental dreamers,the imaginative and the fanciful when you get to know them.They often live with rose colored glasses on.They make lovelook like an art form with all the romantic things they do for their special someone."
687632,1866072,showmance,1197,577,b8aff02f,When actors engage in a romance for the run of a show. ;; Once the run is over so is the romance. ;; The term originated in the theater and moved to movies and scripted television and then reality television. ;; The term has now moved to the populace to discribe any contrived romance.
687634,1866074,Canadian Woman,143,42,c07f8a2f,Very high percentage of beautiful women. One of Canada's greatest exports.
687973,1866808,hopeless romantic,6662,2895,3977eaf7,"This person is in love with love.They believe in fairy tales and love.They're not to be confused as stalkers or creepy because that's not what a hopeless romantic is. All hopeless romantics are idealists,the sentimental dreamers,the imaginative and the fanciful when you get to know them.They often live with rose colored glasses on.They make lovelook like an art form with all the romantic things they do for their special someone."
688127,1867269,Woman,121,462,85629331,"A creature created by God for the pleasure of mankind. Women are often offended by simple remarks, and their unusually unstable emotional state often restrains them from tasks that a male would do. In other words, they are inferior to men."
688173,1867372,Chris Berman,110,251,856a5dd2,"The greatest sports newscaster alive. He is well-known for his colorful nicknaming of players who show up on the sports highlights. He created the noise WHOOOOP!, and uses it in a high-pitched tone to define acrobatic moves or misdirections, including fakes, hurdles and jukes, or fumbles."
688269,1867602,mangina,1896,289,d100e97c,"Pussy whipped male. Named due to the taking on of feminine tendencies rather than masculine ones. Caused by extreme need to seek approval from females to the point of eradicating his own self and becoming a servant eunuch. Is a man, but may as well have a vagina."
688369,1867814,mangiacake,112,39,e28ada96,"Coined by Italian-Canadians during the height of Italian immigrated to Canada. Translation to English is 'cake eater'. There are a few opinions of the direct origin. When Italians first settled into predominantly WASP neighborhoods around Toronto, they were often welcomed by these people of Anglo-Saxon decent with cake (i.e. pound cake). The perception by Italian-Canadians at this point was that Canadians eat a lot of cake, hence the term mangiacake."
689709,1870767,jacks mannequin,115,7,3433cda,"A side project of singer/songwriter Andrew Mcmahon. Basicaly a solo project produced from the help of many other people including Tommy Lee on drums! Mcmahon uses his unique voice, powerful lyrics, and the heartfelt rithyms of his ever so famous piano. With a full album out now they are a great band to listen to whether your happy or sad. Basically Something Corporate with a little twist of pop flavor. For more info see Andrew Mcmahon or Something Corporate."
690169,1871817,manc,193,189,4624ad59,scummy lil fuckers who use words like mint and think there boss most of them have moved out of manchester beacuse of the immigrants moving into manchester
690705,1873142,My chemical romance,160,136,9f392ea1,"An Alt. Rock/Post hardcore band from New Jersey. Often abreviated to 'mcr' or 'My chem.' Cops a lot of flak for no paticular reason. Constantly labled Goth, emo etc. just because a few of the band members have Black hair and wear small amounts of makeup. They aren't the same as Simple Plan or Good Charlette who bitch about how crap their lives are. Their songs have moving, almost poetic lyrics. ;; Most haters base their opinions entirely on 'I'm not okay' which, whilst not a bad song, is definetly not their best. Check out something more like 'Thank you for the venom' or 'Headfirst for halos'. ;; It's alright if you don't particulary like MCR, just give them a fair go, listen to more than a few songs, and don't say stuff like 'MCR SUX! FUCK OFF YOU PISSY EMO FAGS'. ;; Also, if you do like them, don't start saying things like 'Z0MFG MCR PWNZ U NOOBS'. That just creates a bad name for mcr."
691189,1874461,My Chemical Romance,231,206,134b501,"MCR is a band from Newark, NJ. They are not emo! The band members even said so. For all you haters you can suck a cow! If you don't like them then go listen to some shit by 50 cent or something. They have some really good music...Not only are the songs 'I'm not okay', 'helena', 'honey this mirror..' and 'vampires will never hurt you' just MCR singles..they show what the band is all about. Now some of the songs are more intense and tell more about the band its self..listen to 'Thank you for the Venom.' They have 2 albums and 1 dvd out."
691789,1875921,romania,932,547,81ede967,"A wonderful country whose army occupied Hungary three times over the past one hundred years. This makes Hungarian wimps angry, so they write fake entries on this website. ;; The food is good, the women are pretty, and it's one of the few places in Europe where Americans are still liked."
691846,1876063,man boobs,146,49,a6499afa,tits on a man usually characterized by big protruding nipples
692558,1877768,Flying Dutchman,193,105,6190bd6e,"#1 A spectral ship said to appear in storms near the Cape of Good Hope. Said to be captained by Davy Jones. ;; #2 The captain of this ship, a legendary Dutch mariner condemned to sail the seas against the wind until Judgment Day. ;; #3 A phatom ship that was awesomely recreated in Pirates of the Caribbean: Dead Man's Chest."
693617,1880385,Rickmaniac,107,10,eb4b8db9,"1) n. A person who is frighteningly obsessed with [Alan Rickman]. ;; 2) adj. Frighteningly obsessed with Alan Rickman. ;; - also 'Rickmaniacal' (adj.) ;; Mr Rickman is an actor known for his parts in 'Robin Hood: Prince of Thieves', 'Blow Dry', and the 'Harry Potter' films, among others."
695686,1885101,my chemical romance,244,259,99446e5c,"Before you listen to this band, imagine the sound a horse dick makes as you cut it off and shove it in an unsuspecting friends mouth while he/she is sleeping. You have now witnessed sound 300 times better than this shitty excuse for a band. Thank you and goodnight."
695715,1885146,romantic,660,164,a0b82b9a,"a romantic is a person who believes in romanticism, which is like a philosophy on life. Romantics love nature, old things like castles and churches, love poetry and beauty, and have a tendency to get carried away by ideas. This can be both bad and good, as most of the original romantics stood up for their beliefs and greatly helped England, but also went to help people in revolutions and got killed. They also tend to get randomly depressed, but this is because the weather and colors and beatiful things make them act differently than others."
695728,1885179,german,139,57,d647a20e,"Generally nice people,they are NOT nazis,people that say 'Oh all Germans are nazis'are the most ignorant fucking people in the world."
696287,1886440,animaniacs,345,37,3597bf0a,"The best cartoon ever created. More adult humor then the simpsons,family guy,futurama,and south park all put together. Brilliantly writen the show had many sub-cartoons such as; pinky and the brain, good idea/bad idea, and many many others. GREAT SHOW"
697097,1888254,germany,154,216,60cf9ebb,"Im german american. and i hate people who call germans nazi's. and most of these people are english.why? because they are too fucking jealous that we have achieved everything they ever wanted to. we won the world cup 3 times. we would have taken over the world if america wouldnt exist and your all pissed off that ur damn little island was almost bombed into a wasteland if it wasnt for americans..AGAIN. and oh yeah we were the first people to conquer ur shitty little island. oh and ur so crap that when u go to olympics u have to team up with ireland and wales and scotland cus ur athletes are too shit to have their own team. 'THE UNITED KINGDOM' and oh yeah ur country is still the only one which is ruled by a fucking queen. U cant make cars, u cant make food, u cant make guns, U CANT DO SHIT! one tiger tank usually took out 4-5 of ur crappy little boxes on wheels. you people just piss me the fuck off. and then u come with ur little shit excuses: BUT U KILLED SO MANT PEOPLE AND STARTED 2 WORLD WARS!!...YEAH WELL AT LEAST WE DIDNT TRY TO ENSLAVE PEOPLE. and oh yeah im not a racist. to the few decent english people im sorry, but the rest off you can go to hell."
697521,1889048,allman brothers,179,30,26796bda,"The Allman Brothers are a liquid poetry, thrums of the guitar strumming over you. Your own personal connection to the mystic, yours for this night only. Running down your arms and legs, licks a delicious delight. You are caught up in the drive of the guitars, those phantasmic twin guitars, but then you notice the bass. Actually, you don't hear it unless you really listen, actually it's the bass that pulls the song along. Keeping time and sending us the sweetest of vibrations. Did I say keyboards? Gregg's moody touches on his keys punctuating, emphasizing. And JABUMA! Jabuma, Jabuma! Sounds just like what it is, the percussion section, the freakin' percussion section. Can you deny it? Their drums, triple threat, pull you up in a wave and send you along the beat. Nothing better than a good drum solo. The Allmans? They are my heartbeat. I live for the first few notes of Jessica, knowing that I get to hear at least 15 minutes more of joy. The Allmans woke my soul. That's how I define them."
698277,1890804,Umang,132,84,36d0e22b,A very very very very very very sexy guy :]
698536,1891414,Amanda Wenk,411,51,80b4dfcc,A teenage internet celebrity whose massive breasts gained her attention. First noticed on YTMND. Also has the most visited gallery on Web Shots
698872,1892092,weed man,195,85,afeed400,"A person who supplies, smokes, makes, sells, eats, mixes, blazes, and provides weed to minors, teenagers, and adults with no friends. He is the man with the blunt connections. He dabbles in cheeba, bomb ass dank, and ontario red. Alll in all, hes the king of grass,nuff' said."
699119,1892601,theory of a deadman,222,226,79448880,"a shitty band that is a carbon copy of [Nickelback], which isnt a good thing they all suck at their insturments."
700366,1895963,human,234,101,2bfeae41,"1. A sick, retarded, and idiotic species whose degree of intelligence makes life and reality worse off than it could be. ;; 2. Something racists just can't realize. ;; 3. The root of all problems."
700388,1896000,amanda,3830,3550,35d8de19,"When applied to a WOMAN, the wonderful, lovely, beautiful name AMANDA means LOVE. When applied to a cross-dressing man, AMANDA means, 'Dude, look at that NON-CHICK over there, A MAN, DUH!'?"
700870,1897209,Sad Little Woman-Hater,160,155,ea37b25,"A Sad Little Woman-Hater is a male Urban Dictionary user who makes up definitions that insult, put down and abuse woman in their 'definitions' of implausable, made-up sexual acts. Usually involving violence and insults, these men are ALWAYS one of the following: ;; - gay and bitter. ;; - straight and bitter. ;; - a virgin and bitter. ;; A Sad Little Woman-Hater is usually bitter, spitefull and resentful of the opposite sex due to the vast ammount of rejection they get. In a typecally testosterone-driven passive-aggressive manner, these pathetic human beings vent their frustrations out by submitting rediculously idiotic definitions to the Urban Dictionary, depicting violent acts against women. ;; The made-up sexual acts will never be performed by the Sad Little Woman-Haters themselves, because they know that any woman would beat them to a pulp if they even tried... making them even more bitter and spitefull, thus driving them to submit even more stupid definitions."
700992,1897624,Next man,183,73,ab1b00f8,"1. A term used to describe a man you don't know but is or has been relevant to some aspect of your life. ;; 2. A random guy. ;; Generally used in a derogatory sense, expressing distaste for the person in question. ;; Derives from the phrase 'as much/well/good as the next man'."
701076,1898084,red-shirt freshman,110,36,701ce5da,"A Red Shirt Freshman is a student on an NCAA college sports team who was kept out of competition for a year in order to prolong his or her eligibility. Usually this is done to allow the student to be a 'part' of the team in terms of learning, healing from injury, and/or conditioning, but not a participant in any of the contests/games/meets/etc. ;; The following year, they begin their 1st of 4 years of eligibility, or their 'freshman' year of eligibility, even if they are sophomores in terms of academics."
701134,1898195,My Chemical Romance,126,124,6617092b,"Okay, they're not punk, emo, rock...whatever. They don't belong in any genre. They're just pure genius. that's all there is to it. You're right, there will be haters. There will be lovers. Like anything."
701359,1898625,amanda bynes,482,938,5217106f,"Amanda Bynes is what no human even someone who has a wise and prodigious understood of poetry would never define with only words. Amanda Bynes is just beauty itself, she is the moon and her stars around her, the sun melted in a subliminal conjuction in the sky, an angel that felt to earth to show what gifts God gave her, and huge tributes humanity must give him due to such precious piece of his heaven. ;; If all beauties were taken from every woman in this mankind, that beauty would be called AMANDA BYNES."
701396,1898706,natalie portman,136,1354,75937050,Israel's finest export.
701630,1899305,My Chemical Romance,105,99,24e0e8fa,My Chemical Romance are one the best bands around they do not deserve you mother fuckers giving them shit on here!! It's not [emo] music!! It is just plain fucking good music! My Chemical Romance are just plain great and make much better music that you ever could!
702578,1901414,man whore,188,187,429819e8,"a person that will have sex with any and everything regardless of sex, or species. they will stop at nothing to get in ur pants."
703119,1902601,man slut,109,77,3d271a1,"Man who has sex with mulitipul women for his personal pleasuer, AKA Ricky combs"
703180,1902722,welshman,104,130,852b7ad4,"Native Male from [[Wales]] Easy to identify,usually seen with a fucked up haircut,a huge melon like skull, no neck,massive beer belly and wearing their national costume a welsh rugby shirt"
703312,1902988,My Chemical Romance Fans,347,124,9f7d88df,"My Chemical Romance Fans...its a complete unit. An army. MCR have a completely unique sound & perspective compared to most of the bands in the whole rock 'scene' today. One which CANNOT be denied. MCR are there to make a difference. For the true fans, the kids that are just like them, instead of fame & money - FACT. Yes some of the 'fans' are posers. But the ones that matter are in it for MCR. Nothing more. Nothing less. Because MCR saved our lives. Truly."
703765,1904139,Roman,103,94,198bd3cb,Replusively large or loud.
703846,1904342,my chemical romance,171,146,434b80a6,"My Chemical Romance are an amazing band that have unique, poetic lyrics and band members that are just like normal people. ;; MCR don't even think of themselves as famous. ;; they live in NORMAL HOUSES. ;; They are not emo, they are beautiful, violent pop. ;; They have never reffered to themselves as emo unless being sarcastic. ;; Their lyrics are more sophisticated and deep than any crap 'gangsta' singer's."
704368,1905325,Furman,115,17,b90bb1a7,"Furman University - a private, liberal arts college in Greenville, South Carolina."
704862,1906389,manginitis,172,18,300e839,A self-inflicted irritaion of the mangina brought on by a fag pretending to be straight.
704890,1906464,Humans,389,98,5a7c0264,When God decided to destroy the world.
705553,1907918,Panamanian petting zoo,196,164,d783266f,When one force one's partner to pick the nuts and corn out of a bowel movement. The partner then presents the nuts and corn to in a cup or a dish. One then tosses the nuts and corn onto the bed where the partner eats them like a goat or other typical petting zoo animal. ;; Commonly preceeded by a [Kentucky klondike bar].
706387,1909597,Dudeman,123,67,56848851,"This word is quite obviously a mixture of the words [dude] and [man]. It takes the 'coolness' and the 'casualness' and the 'chillness' from dude, and it combines it with the 'seriousness' and all the other stuff that makes 'man' different from dude, all into one word. It is all encompassing, having more 'emotional depth' than just 'dude' and 'man' alone. ;; Etymology: This word was invented by Drew Nutter, originally used whilst (not while, whilst sounds cooler) talking to his dad, he would call him 'dadman man dudeman' (cuz his name is coleman so its like a mix of 'dad' and 'coleman', cuz like theres a 'man' in 'coleman')(actually it wasnt used whilst talking to his dad, its more like thats what i call him when i talk to myself lol)"
707841,1912433,Cartman,848,193,5cb8027b,"Cartman is quite possible the most perfectly witty and intelligent cartoon character ever created. If one just looks past the blatant racism and accept that the use of cartman is to just mock everything bad about society, you'll find it quite funny."
708105,1912995,germany,233,82,d647a20e,"German people are well tempered nice people , yes they were ressponsible for two horrific wars but that was 60 years ago , if you think Germany still has an abnormal amount of nazis in it you are and ignorant person,if you are convicted of neo-nazism in Germany the punishment is worse than in america or canada.GERMAN FOOTBALL RULES"
709364,1915616,Samantha,457,1178,71b2a7c,"The Stereotypical Name for a female goth, or punk. Much like Stephanie is for a stereotypical Prep."
709549,1915956,mangino,449,307,22654e96,noun. Reserved for only the fatest of humans. Orcha obese. Disgustingly large human with dwarf arms. Unable to wipe ones own ass. Festering fat rolls. Being wider than ones own height.
709575,1916003,the white man,314,109,9bfee941,the perfect scapegoat for everyones problems.
710434,1917854,manassas,114,128,2457d6fc,"one of the best cities in the western hemisphere... seriously its full of immigrants and people from all over... Hispanics, whites, blacks, arabs, asian, the whole deal. georgetown south and the occasional trailer park are places that uptight white folk might want to stay away from though..."
710976,1918962,collie man,578,88,63002e2b,Weed dealer. No schwag all dank sensimilla
711192,1919381,Germantown,123,49,ab830cb2,"ders gangstas, drug dealers, guns, robbers, black people, rich folks, wiggers, broke folks, weave shops, hair salons, white people, chelten ave, crab house, chicken spot, footlocker, payless, beauty supply, koreans, rainbow, popeyes, gtown ave, da corner stores, nail salons, big houses, g town high, gfs, trash, flowers, church, banks, doctor, dance school, McDonalds, liquor, day care. everything is in gtown. germantown is a strong community in if u nvr heard of it u aint been to philly yet."
711596,1920254,candyman,144,61,4b1d6532,"Southern Expression. Refers to a man who strives to sexually please lonely women. Like a cross between a sugar daddy and a gigalo, with no money changing hands."
712569,1922355,fishermans haircut,108,21,1da68614,apparenlty its when you get a hair cut and a blow job from two differnt people at the same time
712957,1923167,Cartman,1083,140,611619f1,"Eric Theodore Cartman, who generally goes by 'Cartman,' is one of the four central characters in the hit animated series [South Park]. He is 10 years old and is in fourth grade. Uncapped, Cartman has brownish hair that is combed over. He is overweight and has a double chin. He possesses many bad qualities in a person. Cartman is bigoted, anti-Semetic, racist, uncaring, lazy, and mean, thus making him a popular character in the series. His mother Lianne spoils him simply because he whines to get whatever he wants. In many episodes it indicates his ability to easily manipulate people. Cartman hates hippies, kyle, san fransisco, other jewish people, poor people, stan, and kenny. It is also hinted in an episode that cartman can't leave things unfinished as he has to finish singing the song 'Come Sail Away' by Styx at an alarmingly fast rate. Throughout the series he has become more intelligent and mature. Trey Parker, co-creater of the series, does his voice. Cartman is my favorite character."
713223,1923661,Nicole Kidman,193,385,233d86bb,"An Australian multi-talented actress who exudes much more class and elegance than most people in Hollywood. Can sing and dance as shown in Moulin Rouge and the duet with Robbie Williams, 'Somethin' Stupid'."
713313,1923851,manboy,130,38,a4b15e3e,1.A man who acts like a boy. ;; 2.A man who looks like a young boy.
715408,1928155,gucci mane,300,291,8c6b96a0,rapper best known for 'so icy' with young jeezy
